,,,
RIDE SUMMARY,,,
Total Time,58.3, Minutes, 
Total Distance,18.02, MI, 
AVG Power,143, ,
MAX Power,334, ,
AVG RPM,66, ,
MAX RPM,100, ,
AVG HR,0, ,
MAX HR,0, ,
CAL,0, ,
,,,
RIDE DATA, ,,
Power, RPM, HR, DISTANCE
158,70,0,7.87
163,71,0,7.89
154,71,0,7.9
154,69,0,7.92
158,69,0,7.94
158,69,0,7.95
158,69,0,7.97
158,69,0,7.99
150,67,0,8
164,82,0,8.02
196,80,0,8.04
193,77,0,8.05
183,73,0,8.07
168,71,0,8.09
167,71,0,8.11
159,69,0,8.13
151,67,0,8.14
146,66,0,8.16
144,66,0,8.18
144,67,0,8.19
149,69,0,8.21
156,70,0,8.22
159,69,0,8.24
156,69,0,8.26
156,70,0,8.27
161,70,0,8.29
159,70,0,8.31
158,70,0,8.33
160,70,0,8.34
159,70,0,8.36
159,70,0,8.38
158,69,0,8.39
150,67,0,8.41
146,65,0,8.43
115,58,0,8.44
114,59,0,8.46
114,60,0,8.47
128,65,0,8.49
122,70,0,8.5
149,76,0,8.52
161,79,0,8.54
163,78,0,8.55
155,75,0,8.57
158,73,0,8.59
153,72,0,8.6
147,71,0,8.62
147,71,0,8.64
146,73,0,8.65
129,72,0,8.67
127,72,0,8.69
168,83,0,8.7
143,77,0,8.72
157,73,0,8.73
146,78,0,8.75
146,79,0,8.77
148,79,0,8.78
150,83,0,8.8
161,81,0,8.82
151,78,0,8.83
146,77,0,8.85
143,77,0,8.87
141,75,0,8.88
137,74,0,8.9
133,74,0,8.91
133,75,0,8.93
137,75,0,8.95
137,75,0,8.96
137,75,0,8.98
137,76,0,8.99
143,78,0,9.01
145,80,0,9.03
152,79,0,9.04
151,79,0,9.06
143,77,0,9.08
143,78,0,9.09
166,80,0,9.11
166,79,0,9.12
155,77,0,9.14
171,81,0,9.16
167,80,0,9.18
165,79,0,9.19
161,79,0,9.21
161,79,0,9.23
161,80,0,9.24
164,79,0,9.26
159,77,0,9.28
152,75,0,9.29
138,72,0,9.31
132,71,0,9.33
132,72,0,9.34
136,72,0,9.36
135,71,0,9.38
126,70,0,9.39
129,70,0,9.41
129,70,0,9.42
128,69,0,9.44
124,68,0,9.45
124,71,0,9.47
162,79,0,9.49
159,79,0,9.5
172,81,0,9.52
166,81,0,9.54
164,80,0,9.55
163,79,0,9.57
159,79,0,9.59
158,78,0,9.6
159,77,0,9.62
155,79,0,9.64
159,79,0,9.65
105,65,0,9.67
63,76,0,9.69
78,77,0,9.7
78,75,0,9.71
76,73,0,9.73
72,72,0,9.74
70,72,0,9.75
69,71,0,9.76
67,70,0,9.78
66,71,0,9.79
68,73,0,9.8
71,73,0,9.81
72,73,0,9.83
72,74,0,9.84
74,77,0,9.85
78,79,0,9.86
67,82,0,9.88
67,87,0,9.89
74,91,0,9.9
75,92,0,9.91
76,93,0,9.93
80,95,0,9.94
81,96,0,9.95
83,96,0,9.97
84,97,0,9.98
85,96,0,9.99
160,92,0,10.01
199,87,0,10.02
194,81,0,10.04
177,78,0,10.06
169,78,0,10.07
169,76,0,10.09
155,75,0,10.11
160,74,0,10.13
157,74,0,10.14
153,73,0,10.16
131,67,0,10.18
131,68,0,10.19
141,69,0,10.21
138,70,0,10.22
142,80,0,10.24
156,74,0,10.26
155,73,0,10.27
152,73,0,10.29
141,70,0,10.31
141,70,0,10.32
141,71,0,10.34
149,73,0,10.36
200,62,0,10.37
154,61,0,10.39
157,60,0,10.41
141,59,0,10.42
147,58,0,10.44
139,57,0,10.46
127,57,0,10.47
189,66,0,10.49
150,60,0,10.51
187,61,0,10.52
150,59,0,10.54
140,56,0,10.56
125,53,0,10.57
145,51,0,10.59
141,51,0,10.6
152,51,0,10.62
168,54,0,10.64
166,52,0,10.65
157,49,0,10.67
140,50,0,10.69
146,52,0,10.7
156,52,0,10.72
155,51,0,10.74
161,55,0,10.75
150,51,0,10.77
150,51,0,10.79
135,49,0,10.8
141,51,0,10.82
152,56,0,10.84
139,49,0,10.85
145,50,0,10.87
146,52,0,10.89
152,52,0,10.9
151,51,0,10.92
165,53,0,10.94
162,53,0,10.95
145,50,0,10.97
145,50,0,10.99
150,51,0,11
150,51,0,11.02
150,51,0,11.04
152,55,0,11.05
165,53,0,11.07
155,51,0,11.09
152,52,0,11.1
155,52,0,11.12
159,52,0,11.14
152,51,0,11.15
150,49,0,11.17
139,49,0,11.19
138,48,0,11.2
132,46,0,11.22
121,46,0,11.23
124,47,0,11.25
130,49,0,11.26
133,47,0,11.28
127,46,0,11.3
139,49,0,11.31
171,53,0,11.33
161,52,0,11.34
159,52,0,11.36
183,55,0,11.38
198,53,0,11.4
191,52,0,11.41
186,52,0,11.43
186,52,0,11.45
184,51,0,11.47
192,53,0,11.49
192,53,0,11.5
186,48,0,11.52
153,47,0,11.54
128,47,0,11.56
124,48,0,11.57
123,47,0,11.59
124,48,0,11.6
124,48,0,11.62
119,47,0,11.63
114,46,0,11.65
113,45,0,11.66
96,46,0,11.68
104,49,0,11.69
126,53,0,11.71
131,53,0,11.72
125,52,0,11.74
126,61,0,11.75
140,61,0,11.77
142,62,0,11.79
146,63,0,11.8
134,61,0,11.82
128,60,0,11.84
123,59,0,11.85
117,61,0,11.87
124,63,0,11.88
128,63,0,11.9
120,61,0,11.91
120,61,0,11.93
120,62,0,11.94
125,64,0,11.96
136,66,0,11.97
143,67,0,11.99
143,67,0,12.01
143,67,0,12.02
143,67,0,12.04
143,67,0,12.05
142,66,0,12.07
139,66,0,12.09
144,68,0,12.1
148,69,0,12.12
150,68,0,12.14
146,67,0,12.15
143,67,0,12.17
143,67,0,12.19
143,67,0,12.2
135,65,0,12.22
134,64,0,12.23
129,65,0,12.25
123,68,0,12.27
126,70,0,12.28
