
RIDE SUMMARY,
Total Time, 49.5, Minutes, 
Total Distance, 24.68, MI, 
AVG Power, 251,
MAX Power, 498,
AVG RPM, 71,
MAX RPM, 112,
AVG HR, 0,
MAX HR, 0,
CAL, 0,

STAGE_1_SUMMARY,
Stage Time, 46.6, Minutes,
Total Distance, 23.98, MI,
AVG Power, 257,
MAX Power, 498,
AVG HR, 0,
MAX HR, 0,

RIDE DATA,
Power, RPM, HR, DISTANCE,
302,53,149,16.09
300,52,149,16.12
291,52,148,16.15
271,51,148,16.18
270,50,148,16.21
346,57,147,16.24
292,53,148,16.27
344,56,150,16.31
302,53,150,16.34
302,53,151,16.37
313,59,151,16.4
392,61,152,16.43
313,54,152,16.46
299,53,152,16.5
225,75,152,16.54
264,82,154,16.56
115,66,153,16.58
199,90,150,16.61
206,91,150,16.62
203,92,152,16.64
210,91,151,16.66
198,89,151,16.68
190,89,150,16.7
201,88,150,16.72
188,86,151,16.74
168,82,150,16.76
155,81,150,16.78
165,81,149,16.8
161,82,149,16.81
200,88,149,16.83
191,91,148,16.85
207,92,150,16.87
222,95,148,16.89
232,97,148,16.91
232,98,147,16.93
231,96,146,16.95
270,88,145,16.98
336,92,145,17
281,90,145,17.03
260,90,145,17.06
276,91,145,17.09
276,89,145,17.12
254,85,145,17.15
253,85,145,17.17
250,85,145,17.2
300,93,144,17.22
289,91,144,17.25
279,89,145,17.28
269,88,144,17.31
259,86,144,17.34
259,86,144,17.36
269,88,144,17.39
274,89,144,17.42
205,98,144,17.44
206,99,145,17.47
203,97,145,17.49
193,94,144,17.51
189,94,145,17.53
196,95,144,17.55
203,97,143,17.57
289,94,143,17.59
288,93,143,17.61
279,92,143,17.64
268,89,143,17.67
259,88,144,17.7
259,88,144,17.72
259,89,144,17.75
274,91,144,17.78
284,94,144,17.8
259,88,145,17.83
292,98,145,17.86
303,97,145,17.89
246,96,146,17.92
253,103,146,17.95
254,102,146,17.97
235,99,147,18
228,103,147,18.02
251,101,146,18.05
250,98,146,18.07
253,99,147,18.1
265,102,148,18.12
263,100,147,18.15
252,101,147,18.17
238,101,147,18.2
255,100,147,18.22
250,99,147,18.25
246,100,147,18.27
242,99,148,18.3
190,91,147,18.32
170,94,147,18.35
228,107,148,18.37
171,90,149,18.39
214,102,148,18.41
330,69,148,18.43
357,73,148,18.46
330,69,147,18.49
308,69,147,18.53
250,60,147,18.56
266,62,148,18.59
283,65,148,18.62
295,64,148,18.64
281,64,147,18.67
281,64,147,18.7
303,73,147,18.73
347,72,146,18.76
318,67,146,18.79
262,61,146,18.83
255,60,147,18.85
249,60,148,18.88
247,52,148,18.91
181,52,148,18.93
178,75,147,18.95
172,73,147,18.97
165,72,146,18.98
165,72,144,19
165,72,142,19.02
165,72,142,19.03
202,80,143,19.05
190,78,141,19.07
186,77,140,19.09
190,79,142,19.11
145,67,142,19.13
194,78,144,19.15
195,79,143,19.16
194,79,143,19.18
203,81,144,19.2
199,80,145,19.22
199,80,145,19.24
200,81,144,19.26
193,79,141,19.28
197,80,140,19.3
197,81,142,19.32
209,80,141,19.34
192,78,139,19.36
176,75,139,19.38
218,84,140,19.4
213,82,140,19.41
197,80,140,19.44
192,78,143,19.46
193,81,144,19.48
197,80,142,19.5
193,78,143,19.52
225,82,144,19.54
179,76,145,19.56
183,78,146,19.58
187,78,148,19.6
204,82,148,19.61
196,81,149,19.63
212,83,149,19.65
200,81,149,19.67
150,69,147,19.69
200,81,148,19.71
200,81,147,19.73
191,79,147,19.75
188,77,146,19.77
182,77,146,19.79
189,76,148,19.8
177,75,151,19.82
172,76,150,19.84
180,77,149,19.86
179,76,147,19.88
197,81,144,19.89
176,75,142,19.91
184,75,142,19.93
176,76,142,19.95
190,77,142,19.97
178,76,143,19.99
174,76,142,20
151,71,142,20.02
187,79,143,20.04
198,79,141,20.06
215,82,141,20.07
214,81,141,20.09
295,86,140,20.12
294,68,139,20.14
280,78,138,20.17
273,77,139,20.19
273,77,140,20.22
261,75,139,20.25
243,71,140,20.27
229,69,141,20.3
266,78,143,20.32
301,84,144,20.35
305,83,144,20.37
292,81,143,20.4
273,78,143,20.43
272,78,143,20.46
260,77,143,20.49
265,77,143,20.51
271,78,143,20.54
278,79,143,20.57
265,77,143,20.59
265,77,144,20.62
348,78,145,20.65
244,64,144,20.68
271,66,144,20.71
254,63,145,20.73
247,62,146,20.76
242,63,147,20.78
206,57,146,20.81
214,59,147,20.83
278,67,146,20.85
266,66,145,20.87
248,63,144,20.9
356,75,143,20.93
339,75,144,20.95
341,75,145,20.99
329,74,145,21.02
339,74,146,21.05
312,72,147,21.09
297,70,148,21.12
304,71,148,21.15
230,61,147,21.18
223,60,148,21.21
217,51,150,21.24
268,61,150,21.26
269,62,149,21.28
184,50,149,21.31
256,60,149,21.33
240,58,149,21.35
238,57,147,21.38
202,53,147,21.4
218,56,147,21.42
222,55,146,21.45
217,55,145,21.47
275,70,144,21.49
338,70,145,21.51
347,71,146,21.54
330,69,147,21.58
327,67,147,21.61
312,67,146,21.65
310,67,147,21.68
303,66,148,21.71
295,65,149,21.74
270,62,150,21.77
214,54,149,21.8
211,56,150,21.83
247,59,150,21.85
284,72,149,21.87
386,70,148,21.89
371,70,146,21.93
374,69,146,21.97
349,67,147,22
316,63,145,22.04
317,64,145,22.07
325,64,146,22.11
298,61,147,22.14
277,57,150,22.17
206,56,151,22.2
252,56,151,22.23
245,55,152,22.25
140,79,150,22.27
249,90,148,22.3
235,89,148,22.31
234,87,147,22.34
219,83,147,22.36
326,82,147,22.39
325,83,148,22.41
321,83,148,22.44
383,93,149,22.48
371,90,149,22.51
339,85,150,22.55
338,84,150,22.59
172,58,150,22.62
169,58,149,22.65
229,69,151,22.68
345,85,150,22.69
338,84,149,22.72
262,72,150,22.75
226,67,151,22.79
351,86,151,22.81
331,83,150,22.84
315,80,150,22.87
317,81,151,22.9
325,83,150,22.93
358,87,150,22.97
366,88,149,23
282,75,149,23.04
281,76,151,23.07
275,74,152,23.1
238,69,155,23.13
233,69,155,23.15
257,72,154,23.18
293,80,152,23.2
331,83,150,23.23
314,62,152,23.26
191,61,152,23.29
226,67,152,23.32
214,65,151,23.34
191,71,149,23.36
297,78,150,23.38
336,83,150,23.4
322,81,148,23.43
308,79,149,23.47
177,79,150,23.5
208,88,150,23.53
174,89,150,23.55
129,82,149,23.57
181,97,149,23.58
174,97,150,23.6
177,98,149,23.61
188,103,149,23.63
187,102,148,23.65
186,100,148,23.67
185,101,148,23.69
186,103,147,23.71
407,106,148,23.73
352,90,148,23.74
373,93,148,23.78
323,89,148,23.81
330,86,148,23.85
288,81,147,23.88
295,87,146,23.92
307,84,147,23.94
286,80,146,23.98
221,70,145,24.01
300,95,145,24.03
374,95,147,24.06
411,101,148,24.09
408,99,148,24.13
397,98,150,24.17
141,86,149,24.21
153,98,150,24.25
164,106,149,24.27
156,99,148,24.29
144,98,148,24.3
104,85,148,24.32
43,87,147,24.33
53,85,146,24.34
47,83,145,24.35
49,85,144,24.35
51,86,143,24.36
47,84,142,24.36
48,84,141,24.37
42,79,139,24.37
55,89,138,24.38
55,89,137,24.38
53,86,135,24.39
51,83,134,24.39
49,83,133,24.4
47,77,132,24.4
203,74,133,24.41
158,69,132,24.41
204,66,131,24.43
197,64,131,24.45
187,63,130,24.47
135,53,130,24.49
175,56,128,24.51
150,56,127,24.52
175,60,127,24.54
164,59,128,24.55
205,60,128,24.57
218,62,128,24.59
202,53,127,24.61
162,53,126,24.63
161,55,125,24.65
26,59,126,24.67
5,27,124,24.68
5,27,126,24.68
4,1,125,24.68
0,1,124,24.68
0,0,124,24.68
0,0,124,24.68
